Month,Day,Year,Venue,Event_Artists,Artist_Formula,Event_Formulas,Index
August,29,1976,Durty Nellie's,"Talent Show final: Foxfire Trio, Rated Supplement, Becky Garcia and Gerry Garcia, Anna Wood, Veronica Gonzales, Tish Hinojosa, Mark Mahan. Ken Blair, Joan Lambert, Daniel Nigg",Rated Supplement,Talent Show final,3685
August,29,1976,Durty Nellie's,"Talent Show final: Foxfire Trio, Rated Supplement, Becky Garcia and Gerry Garcia, Anna Wood, Veronica Gonzales, Tish Hinojosa, Mark Mahan. Ken Blair, Joan Lambert, Daniel Nigg",Becky Garcia and Gerry Garcia,Talent Show final,3685
August,29,1976,Durty Nellie's,"Talent Show final: Foxfire Trio, Rated Supplement, Becky Garcia and Gerry Garcia, Anna Wood, Veronica Gonzales, Tish Hinojosa, Mark Mahan. Ken Blair, Joan Lambert, Daniel Nigg",Anna Wood,Talent Show final,3685
August,29,1976,Durty Nellie's,"Talent Show final: Foxfire Trio, Rated Supplement, Becky Garcia and Gerry Garcia, Anna Wood, Veronica Gonzales, Tish Hinojosa, Mark Mahan. Ken Blair, Joan Lambert, Daniel Nigg",Veronica Gonzales,Talent Show final,3685
August,29,1976,Durty Nellie's,"Talent Show final: Foxfire Trio, Rated Supplement, Becky Garcia and Gerry Garcia, Anna Wood, Veronica Gonzales, Tish Hinojosa, Mark Mahan. Ken Blair, Joan Lambert, Daniel Nigg",Tish Hinojosa,Talent Show final,3685
August,29,1976,Durty Nellie's,"Talent Show final: Foxfire Trio, Rated Supplement, Becky Garcia and Gerry Garcia, Anna Wood, Veronica Gonzales, Tish Hinojosa, Mark Mahan. Ken Blair, Joan Lambert, Daniel Nigg",Mark Mahan. Ken Blair,Talent Show final,3685
August,29,1976,Durty Nellie's,"Talent Show final: Foxfire Trio, Rated Supplement, Becky Garcia and Gerry Garcia, Anna Wood, Veronica Gonzales, Tish Hinojosa, Mark Mahan. Ken Blair, Joan Lambert, Daniel Nigg",Joan Lambert,Talent Show final,3685
August,29,1976,Durty Nellie's,"Talent Show final: Foxfire Trio, Rated Supplement, Becky Garcia and Gerry Garcia, Anna Wood, Veronica Gonzales, Tish Hinojosa, Mark Mahan. Ken Blair, Joan Lambert, Daniel Nigg",Daniel Nigg,Talent Show final,3685
August,30,1976,Trinity University,Israel Philharmonic w/Zubin Mehta,Israel Philharmonic w/Zubin Mehta,,3686
August,30,1976,JK's Dicsoteque,The Sophisticates,The Sophisticates,,3687
August,31,1976,JK's Dicsoteque,The Sophisticates,The Sophisticates,,3688
September,8,1976,Lila Cockrell Theatre,Guadalajara Symphony Orchestra,Guadalajara Symphony Orchestra,,3689
September,10,1976,San Antonio Municipal Auditorium,"Trapeze, Paris, Mountain",Trapeze,,3690
September,10,1976,San Antonio Municipal Auditorium,"Trapeze, Paris, Mountain",Paris,,3690
September,10,1976,San Antonio Municipal Auditorium,"Trapeze, Paris, Mountain",Mountain,,3690
September,10,1976,Cabaret,Potter's Wheel,Potter's Wheel,,3691
September,11,1976,Cabaret,Reidel Brothers,Reidel Brothers,,3692
September,11,1976,Arneson River Theatre,"La Feria del Rio: San Antonio Mariach Group, Los Flamencos de San Antonio, Ballet Regional Mexicano",San Antonio Mariach Group,La Feria del Rio,3693
September,11,1976,Arneson River Theatre,"La Feria del Rio: San Antonio Mariach Group, Los Flamencos de San Antonio, Ballet Regional Mexicano",Los Flamencos de San Antonio,La Feria del Rio,3693
September,11,1976,Arneson River Theatre,"La Feria del Rio: San Antonio Mariach Group, Los Flamencos de San Antonio, Ballet Regional Mexicano",Ballet Regional Mexicano,La Feria del Rio,3693
September,11,1976,Quiet Valley Ranch,Glenn Miller Orchestra,Glenn Miller Orchestra,,3694
September,17,1976,Arneson River Theatre,San Antonio College Mariachis,San Antonio College Mariachis,,3695
September,17,1976,Farmers Market,Manuel Medillin,Manuel Medillin,,3696
September,17,1976,King William Park,Chris Stark German Band,Chris Stark German Band,,3697
September,17,1976,Madison Square,"Marty Betters, Maggie Jardy, Jackie Sparks, Bill Cockrell, Pat and Eddie Mery",Marty Betters,,3698
September,17,1976,Madison Square,"Marty Betters, Maggie Jardy, Jackie Sparks, Bill Cockrell, Pat and Eddie Mery",Maggie Jardy,,3698
September,17,1976,Madison Square,"Marty Betters, Maggie Jardy, Jackie Sparks, Bill Cockrell, Pat and Eddie Mery",Jackie Sparks,,3698
September,17,1976,Madison Square,"Marty Betters, Maggie Jardy, Jackie Sparks, Bill Cockrell, Pat and Eddie Mery",Bill Cockrell,,3698
September,17,1976,Madison Square,"Marty Betters, Maggie Jardy, Jackie Sparks, Bill Cockrell, Pat and Eddie Mery",Pat and Eddie Mery,,3698
September,17,1976,Main Plaza (San Antonio),"Gloria Aguilar, Armando Castenada Mariachis",Gloria Aguilar,,3699
September,17,1976,Main Plaza (San Antonio),"Gloria Aguilar, Armando Castenada Mariachis",Armando Castenada Mariachis,,3699
September,17,1976,Travis Park,"Don Albert, Jim Cullum, Tony Rozance, Willis Hysaw, Warren Lewis, Mel Winters, Curly Williams",Don Albert,,3700
September,17,1976,Travis Park,"Don Albert, Jim Cullum, Tony Rozance, Willis Hysaw, Warren Lewis, Mel Winters, Curly Williams",Jim Cullum Jazz Band,,3700
September,17,1976,Travis Park,"Don Albert, Jim Cullum, Tony Rozance, Willis Hysaw, Warren Lewis, Mel Winters, Curly Williams",Tony Rozance,,3700
September,17,1976,Travis Park,"Don Albert, Jim Cullum, Tony Rozance, Willis Hysaw, Warren Lewis, Mel Winters, Curly Williams",Willis Hysaw,,3700
September,17,1976,Travis Park,"Don Albert, Jim Cullum, Tony Rozance, Willis Hysaw, Warren Lewis, Mel Winters, Curly Williams",Warren Lewis,,3700
September,17,1976,Travis Park,"Don Albert, Jim Cullum, Tony Rozance, Willis Hysaw, Warren Lewis, Mel Winters, Curly Williams",Mel Winters,,3700
September,17,1976,Travis Park,"Don Albert, Jim Cullum, Tony Rozance, Willis Hysaw, Warren Lewis, Mel Winters, Curly Williams",Curly Williams,,3700
September,19,1976,Golden Stallion,Quota Club Harvest Festival Dance: Johnny Bush,Johnny Bush,Quota Club Harvest Festival Dance,3701
September,25,1976,Braun Hall,The Countrymen,The Countrymen,,3702
September,26,1976,San Antonio Japanese Tea Garden,Mariachi Azteca,Mariachi Azteca,,3703
September,26,1976,San Antonio Municipal Auditorium,Neil Sedaka,Neil Sedaka,,3704
September,26,1976,Sunken Garden Theater,"Ramiro Cervera and his Orchestra, Paul Elizondo",Ramiro Cervera,,3705
September,26,1976,Sunken Garden Theater,"Ramiro Cervera and his Orchestra, Paul Elizondo",Paul Elizondo,,3705
October,5,1976,La Villita Assembly Hall,Fifth Army Band,Fifth Army Band,,3706
October,8,1976,San Antonio Convention Center Arena,Neil Diamond,Neil Diamond,,3707
October,8,1976,Lila Cockrell Theatre,Gordon Lightfoot,Gordon Lightfoot,,3708
October,10,1976,San Antonio Convention Center Arena,"Isley Brothers, Wild Cherry, Black Smoke",Isley Brothers,,3709
October,10,1976,San Antonio Convention Center Arena,"Isley Brothers, Wild Cherry, Black Smoke",Wild Cherry,,3709
October,10,1976,San Antonio Convention Center Arena,"Isley Brothers, Wild Cherry, Black Smoke",Black Smoke,,3709
October,10,1976,Randy's,Nitzinger,Nitzinger,,3710
October,15,1976,San Antonio Municipal Auditorium,Gino Vannelli,Gino Vannelli,,3711
October,19,1976,Turtle Creek Country Club,The Diamonds,The Diamonds,,3712
October,22,1976,San Antonio Convention Center Arena,"""A 50's Rock and Roll Spectacular starring Wolfman Jack:"" Danny and the Juniors, The Diamonds, Johnny Dee & The Rocket 88's","Danny and the Juniors, The Diamonds, Johnny Dee & The Rocket 88's","""A 50's Rock and Roll Spectacular starring Wolfman Jack",3713
October,23,1976,Trinity University,Leontyne Price,Leontyne Price,,3714
October,24,1976,San Antonio Convention Center Arena,"Black Sabbath, Moxy, Boston",Black Sabbath,,3715
October,24,1976,San Antonio Convention Center Arena,"Black Sabbath, Moxy, Boston",Moxy,,3715
October,24,1976,San Antonio Convention Center Arena,"Black Sabbath, Moxy, Boston",Boston,,3715
October,28,1976,San Antonio Municipal Auditorium,Commodores,Commodores,,3716
October,30,1976,Colonies North clubhouse,"Herradura de Plata Charro Association dance: Roberto Chavez Orchestra, Mariach Alamo de San Juan",Roberto Chavez and his Orchestra,Herradura de Plata Charro Association dance,3717
October,30,1976,Colonies North clubhouse,"Herradura de Plata Charro Association dance: Roberto Chavez Orchestra, Mariach Alamo de San Juan",Mariach Alamo de San Juan,Herradura de Plata Charro Association dance,3717
October,30,1976,Farmers Market,"Fiesta Mercado: Healy-Murphy Gospel Singers, San Antonio College Mariachis, Los Parientes, Teresa Champion Flamenco group",Healy-Murphy Gospel Singers,Fiesta Mercado,3718
October,30,1976,Farmers Market,"Fiesta Mercado: Healy-Murphy Gospel Singers, San Antonio College Mariachis, Los Parientes, Teresa Champion Flamenco group",San Antonio College Mariachis,Fiesta Mercado,3718
October,30,1976,Farmers Market,"Fiesta Mercado: Healy-Murphy Gospel Singers, San Antonio College Mariachis, Los Parientes, Teresa Champion Flamenco group",Los Parientes,Fiesta Mercado,3718
October,30,1976,Farmers Market,"Fiesta Mercado: Healy-Murphy Gospel Singers, San Antonio College Mariachis, Los Parientes, Teresa Champion",Teresa Champion,Fiesta Mercado,3718
November,2,1976,San Antonio Convention Center Arena,"Eagles, J. D. Souther",Eagles,,3719
November,2,1976,San Antonio Convention Center Arena,"Eagles, J. D. Souther",J. D. Souther,,3719
November,3,1976,San Antonio Convention Center Arena,"Parliament Funkadelic, Bootsy's Rubber Band, Hugh Masakela",Parliament Funkadelic,,3720
November,3,1976,San Antonio Convention Center Arena,"Parliament Funkadelic, Bootsy's Rubber Band, Hugh Masakela",Bootsy's Rubber Band,,3720
November,3,1976,San Antonio Convention Center Arena,"Parliament Funkadelic, Bootsy's Rubber Band, Hugh Masakela",Hugh Masakela,,3720
November,12,1976,San Antonio Convention Center Arena,"Eric Clapton, Charlie Daniels Band",Eric Clapton,,3721
November,12,1976,San Antonio Convention Center Arena,"Eric Clapton, Charlie Daniels Band",Charlie Daniels Band,,3721
November,12,1976,San Antonio Municipal Auditorium,"Foghat, Nektar, Mother's Finest",Foghat,,3722
November,12,1976,San Antonio Municipal Auditorium,"Foghat, Nektar, Mother's Finest",Nektar,,3722
November,12,1976,San Antonio Municipal Auditorium,"Foghat, Nektar, Mother's Finest",Mother's Finest,,3722
November,16,1976,Loftin Student Center-SAC,"Leonard Wilburn, Victor Ramirez",Leonard Wilburn,,3723
November,16,1976,Loftin Student Center-SAC,"Leonard Wilburn, Victor Ramirez",Victor Ramirez,,3723
November,19,1976,La Villita Assembly Hall,Civil Rights Litigation Center fundraining party: Ramiro Cervera and His Orchestra,Ramiro Cervera,Civil Rights Litigation Center fundraining party,3724
December,10,1976,John T. Floore's Country Store,Ernest Tubb and the Texas Troubadores,Ernest Tubb and the Texas Troubadores,,3725
December,10,1976,San Antonio Convention Center Arena,"Robin Trower, Thin Lizzy, Target, Point Blank",Robin Trower,,3726
December,10,1976,San Antonio Convention Center Arena,"Robin Trower, Thin Lizzy, Target, Point Blank",Thin Lizzy,,3726
December,10,1976,San Antonio Convention Center Arena,"Robin Trower, Thin Lizzy, Target, Point Blank",Target,,3726
December,10,1976,San Antonio Convention Center Arena,"Robin Trower, Thin Lizzy, Target, Point Blank",Point Blank,,3726
December,10,1976,San Antonio Municipal Auditorium,"Waylon Jennings, Rusty Weir, B. W. Stevenson",Waylon Jennings,,3727
December,10,1976,San Antonio Municipal Auditorium,"Waylon Jennings, Rusty Weir, B. W. Stevenson",Rusty Weir,,3727
December,10,1976,San Antonio Municipal Auditorium,"Waylon Jennings, Rusty Weir, B. W. Stevenson",B. W. Stevenson,,3727
December,11,1976,Market Square,"Fiesta Navidena: Conjunto Los Pavos Reales, Ballet Folklorico de San Antonio, San Antonio College Mariachis, Trinity Baptist Church Deaf Congregation, Orchestra Montecielo, Ballet Folklorico Mexico/Espana, Air Force Band of West, San Antonio Youth Symphony",Conjunto Los Pavos Reales,Fiesta Navidena,3728
December,11,1976,Market Square,"Fiesta Navidena: Conjunto Los Pavos Reales, Ballet Folklorico de San Antonio, San Antonio College Mariachis, Trinity Baptist Church Deaf Congregation, Orchestra Montecielo, Ballet Folklorico Mexico/Espana, Air Force Band of West, San Antonio Youth Symphony",Ballet Folklorico de San Antonio,Fiesta Navidena,3728
December,11,1976,Market Square,"Fiesta Navidena: Conjunto Los Pavos Reales, Ballet Folklorico de San Antonio, San Antonio College Mariachis, Trinity Baptist Church Deaf Congregation, Orchestra Montecielo, Ballet Folklorico Mexico/Espana, Air Force Band of West, San Antonio Youth Symphony",San Antonio College Mariachis,Fiesta Navidena,3728
December,11,1976,Market Square,"Fiesta Navidena: Conjunto Los Pavos Reales, Ballet Folklorico de San Antonio, San Antonio College Mariachis, Trinity Baptist Church Deaf Congregation, Orchestra Montecielo, Ballet Folklorico Mexico/Espana, Air Force Band of West, San Antonio Youth Symphony",Trinity Baptist Church Deaf Congregation,Fiesta Navidena,3728
December,11,1976,Market Square,"Fiesta Navidena: Conjunto Los Pavos Reales, Ballet Folklorico de San Antonio, San Antonio College Mariachis, Trinity Baptist Church Deaf Congregation, Orchestra Montecielo, Ballet Folklorico Mexico/Espana, Air Force Band of West, San Antonio Youth Symphony",Orchestra Montecielo,Fiesta Navidena,3728
December,11,1976,Market Square,"Fiesta Navidena: Conjunto Los Pavos Reales, Ballet Folklorico de San Antonio, San Antonio College Mariachis, Trinity Baptist Church Deaf Congregation, Orchestra Montecielo, Ballet Folklorico Mexico/Espana, Air Force Band of West, San Antonio Youth Symphony",Ballet Folklorico Mexico/Espana,Fiesta Navidena,3728
December,11,1976,Market Square,"Fiesta Navidena: Conjunto Los Pavos Reales, Ballet Folklorico de San Antonio, San Antonio College Mariachis, Trinity Baptist Church Deaf Congregation, Orchestra Montecielo, Ballet Folklorico Mexico/Espana, Air Force Band of West, San Antonio Youth Symphony",United States Air Force Band of the West,Fiesta Navidena,3728
December,11,1976,Market Square,"Fiesta Navidena: Conjunto Los Pavos Reales, Ballet Folklorico de San Antonio, San Antonio College Mariachis, Trinity Baptist Church Deaf Congregation, Orchestra Montecielo, Ballet Folklorico Mexico/Espana, Air Force Band of West, San Antonio Youth Symphony",San Antonio Youth Symphony,Fiesta Navidena,3728
December,13,1976,Market Square,"Fiesta Navidena: San Antonio College Mariachis, Edgewood High School Band, St. Mary's University Stage Band, Barrio Betterment Senior Citizen's Bnad",San Antonio College Mariachis,Fiesta Navidena,3729
December,13,1976,Market Square,"Fiesta Navidena: San Antonio College Mariachis, Edgewood High School Band, St. Mary's University Stage Band, Barrio Betterment Senior Citizen's Bnad",Edgewood High School Band,Fiesta Navidena,3729
December,13,1976,Market Square,"Fiesta Navidena: San Antonio College Mariachis, Edgewood High School Band, St. Mary's University Stage Band, Barrio Betterment Senior Citizen's Bnad",St. Mary's University Stage Band,Fiesta Navidena,3729
December,13,1976,Market Square,"Fiesta Navidena: San Antonio College Mariachis, Edgewood High School Band, St. Mary's University Stage Band, Barrio Betterment Senior Citizen's Bnad",Barrio Betterment Senior Citizen's Bnad,Fiesta Navidena,3729
December,18,1976,Lila Cockrell Theatre, San Antonio Symphony Orchestra,San Antonio Symphony Orchestra,,3730
December,20,1976,Trinity University, San Antonio Symphony Orchestra,San Antonio Symphony Orchestra,,3731
May,20,1976,Travis Park,The Happy Jazz Band,The Happy Jazz Band,,3732
May,21,1976,Travis Park,Los Cominantes,Los Cominantes,,3733
May,28,1976,Lackland Air Force Base,"Lackland Bicentennial Celebration: Mariachi Internationale, Ballet Folklorico de San Antonio, the Cloverleaf Bavarian Band, Walker Ford Gospel, Czech Choir, Kinder Choir",Mariachi Internationale,Lackland Bicentennial Celebration,3734
May,28,1976,Lackland Air Force Base,"Lackland Bicentennial Celebration: Mariachi Internationale, Ballet Folklorico de San Antonio, the Cloverleaf Bavarian Band, Walker Ford Gospel, Czech Choir, Kinder Choir",Ballet Folklorico de San Antonio,Lackland Bicentennial Celebration,3734
May,28,1976,Lackland Air Force Base,"Lackland Bicentennial Celebration: Mariachi Internationale, Ballet Folklorico de San Antonio, the Cloverleaf Bavarian Band, Walker Ford Gospel, Czech Choir, Kinder Choir",the Cloverleaf Bavarian Band,Lackland Bicentennial Celebration,3734
May,28,1976,Lackland Air Force Base,"Lackland Bicentennial Celebration: Mariachi Internationale, Ballet Folklorico de San Antonio, the Cloverleaf Bavarian Band, Walker Ford Gospel Singers, Czech Choir, Kinder Choir",Walker Ford Gospel Singers,Lackland Bicentennial Celebration,3734
May,28,1976,Lackland Air Force Base,"Lackland Bicentennial Celebration: Mariachi Internationale, Ballet Folklorico de San Antonio, the Cloverleaf Bavarian Band, Walker Ford Gospel, Czech Choir, Kinder Choir",Czech Choir,Lackland Bicentennial Celebration,3734
May,28,1976,Lackland Air Force Base,"Lackland Bicentennial Celebration: Mariachi Internationale, Ballet Folklorico de San Antonio, the Cloverleaf Bavarian Band, Walker Ford Gospel, Czech Choir, Kinder Choir",Kinder Choir,Lackland Bicentennial Celebration,3734
January,8,1977,San Antonio Municipal Auditorium,"Rush, Leslie West, Artful Dodger",Rush,,3735
January,8,1977,San Antonio Municipal Auditorium,"Rush, Leslie West, Artful Dodger",Leslie West,,3735
January,8,1977,San Antonio Municipal Auditorium,"Rush, Leslie West, Artful Dodger",Artful Dodger,,3735
January,9,1977,San Antonio Municipal Auditorium,"Rush, Leslie West, Artful Dodger",Rush,,3736
January,9,1977,San Antonio Municipal Auditorium,"Rush, Leslie West, Artful Dodger",Leslie West,,3736
January,9,1977,San Antonio Municipal Auditorium,"Rush, Leslie West, Artful Dodger",Artful Dodger,,3736
January,13,1977,Jefferson High School,"Florida Boys, J.D. Sumner & the Stamps",Florida Boys,,3737
January,13,1977,Jefferson High School,"Florida Boys, J.D. Sumner & the Stamps",J.D. Sumner & the Stamps,,3737
January,21,1977,San Antonio Municipal Auditorium,"Wanda Jackson, The Cruse Family",Wanda Jackson,,3738
January,21,1977,San Antonio Municipal Auditorium,"Wanda Jackson, The Cruse Family",The Cruse Family,,3738
